"nome","resumo","coordenador"
"AS DISCIPLINAS DE HISTÓRIA DA AMÉRICA I E II E O ENSINO DE HISTÓRIA DA AMÉRICA","Em breve este conteúdo estará disponível.","Alessandra Gonzalez De Carvalho Seixlack "
"OS USOS DA LITERATURA INDÍGENA E AFRICANA PARA UM ENSINO DE HISTÓRIA DESCOLONIZADOR","Em breve este conteúdo estará disponível.","Alessandra Gonzalez De Carvalho Seixlack "
"DESCOLONIZANDO O CONHECIMENTO: CONTRIBUIÇÕES EPISTEMOLÓGICAS PARA UM NOVO OLHAR SOBRE A HISTÓRIA","Em breve este conteúdo estará disponível.","Alessandra Gonzalez De Carvalho Seixlack "
"AS MULHERES E A UNIVERSIDADE: AMPLIANDO OS OLHARES CONTEMPORÂNEOS DA HISTÓRIA INTELECTUAL","Em breve este conteúdo estará disponível.","Alexandra Dias Ferraz Tedesco "
"DOS LABORATÓRIOS DE I.A. PARA AS BIBLIOGRAFIAS: A CONSTRUÇÃO SOCIAL DA CRISE DAS HUMANIDADES.","Em breve este conteúdo estará disponível.","Alexandra Dias Ferraz Tedesco "
"MEMÓRIA INSTITUCIONAL DA UERJ","Em breve este conteúdo estará disponível.","Amanda Danelli Costa "
"MEMÓRIA PROAFRO UERJ","Em breve este conteúdo estará disponível.","Ana Paula Procopio Da Silva "
"ORIENTALISMO","Em breve este conteúdo estará disponível.","André Da Silva Bueno "
"HISTÓRIA DO RIO DE JANEIRO","Em breve este conteúdo estará disponível.","Carlos Eduardo Pinto De Pinto "
"HISTÓRIA FLUMINENSE E LABORATÓRIO DE ENSINO DE HISTÓRIA DIGITAL: CAMINHOS PARA UMA OUTRA HISTÓRIA","Em breve este conteúdo estará disponível.","Claudio Antônio Santos Monteiro "
"LABORATÓRIO DE ENSINO DE HISTÓRIA DIGITAL","Em breve este conteúdo estará disponível.","Flávia Beatriz Ferreira De Nazareth "
"O FAZER DOCENTE NO CENÁRIO DA HISTÓRIA PÚBLICA DIGITAL","Em breve este conteúdo estará disponível.","Flávia Beatriz Ferreira De Nazareth "
"O FAZER DOCENTE NO CENÁRIO DA HISTÓRIA PÚBLICA DIGITAL: PRODUÇÃO DE MICRO-SÉRIE","Em breve este conteúdo estará disponível.","Flávia Beatriz Ferreira De Nazareth "
"ENTRE O FATO E AS IMAGENS EM MOVIMENTO: CINEMA NO SÉCULO XXI E O ENSINO DE HISTÓRIA","Em breve este conteúdo estará disponível.","Flaviano Bugatti Isolan "
"APRENDENDO HISTÓRIA EM ESPAÇOS NÃO FORMAIS: A CIDADE E O MUSEU COMO EXPERIÊNCIAS NO ENSINO BÁSICO.","Em breve este conteúdo estará disponível.","Guilherme Gomes Moerbeck "
"A REVISTA TRANSVERSOS E O MUNDO DIGITAL: VISIBILIDADE À PRODUÇÃO ACADÊMICA E DIVULGAÇÃO.","Em breve este conteúdo estará disponível.","Guilherme Gomes Moerbeck "
"UMA HISTÓRIA ANTIGA INCLUSIVA NAS ESCOLAS: PEDAGOCIA DECOLONIAL E PENSAMENTO HISTÓRICO.","Em breve este conteúdo estará disponível.","Guilherme Gomes Moerbeck "
"LIVROS DIDÁTICOS DE HISTÓRIA: NEM HERÓIS NEM VILÕES III","Em breve este conteúdo estará disponível.","Helenice Aparecida Bastos Rocha "
"ENSINO DE HISTÓRIA E HISTORIOGRAFIA: LABORATÓRIO DE HISTÓRIA","Em breve este conteúdo estará disponível.","Helenice Aparecida Bastos Rocha "
"ENSINO DE HISTÓRIA E USOS DO PASSADO: REDES E CANAIS DE COMUNICAÇÃO","Em breve este conteúdo estará disponível.","Helenice Aparecida Bastos Rocha "
"LER E ESCREVER PARA NÃO SILENCIAR: EDUCAÇÃO ANTIRRACISTA TECNOLOGIAS HISTÓRIA E CIDADANIA","Em breve este conteúdo estará disponível.","Iamara Da Silva Viana "
"CARTOGRAFIAS DA MEMÓRIA E RESISTÊNCIA À DITADURA NAS ESCOLAS: GÊNERO RAÇA E MOVIMENTO ESTUDANTIL","Em breve este conteúdo estará disponível.","Larissa Costard Soares "
"USOS DO (AUTO)BIOGRÁFICO E EDUCAÇÃO ANTIRRACISTA: UMA PROPOSTA DE INTERVENÇÃO","Em breve este conteúdo estará disponível.","Lívia Beatriz Da Conceição "
"“HISTÓRIA PROFUNDA DA HUMANIDADE""","Em breve este conteúdo estará disponível.","Lolita Guimarães Guerra "
"CENTRO DE MEMÓRIA DA IMIGRAÇÃO DA ILHA DAS FLORES","Em breve este conteúdo estará disponível.","Luís Reznik "
"MONITORIA DE IFCH01-02493 - HISTÓRIA DO BRASIL V","Em breve este conteúdo estará disponível.","Marcus Ajuruam De Oliveira Dezemone "
"NÚCLEO DE ESTUDOS DA ANTIGUIDADE - HISTÓRIA DA ANTIGUIDADE OCIDENTAL","Em breve este conteúdo estará disponível.","Maria Regina Candido "
"HISTÓRIA LOCAL E MEMÓRIAS – SALA DE AULA E PESQUISA DO MUNDO AO REDOR","Em breve este conteúdo estará disponível.","Mario Sergio Ignácio Brum "
"IDADE MÉDIA ENSINO E PESQUISA","Em breve este conteúdo estará disponível.","Marta De Carvalho Silveira "
"NÚCLEO DE ESTUDOS DE MEMÓRIA DA MORADIA POPULAR: A HISTÓRIA ORAL DE MORADORES DE FAVELAS NA ESCOLA","Em breve este conteúdo estará disponível.","Mauro Henrique De Barros Amoroso "
"TEORIA DA HISTÓRIA: PENSAR E ENSINAR AS CONDIÇÕES DA ESCRITA DA HISTÓRIA","Em breve este conteúdo estará disponível.","Nathália Sanglard De Almeida Nogueira "
"HISTORICIDADE E ESCRITAS DE SI NA LITERATURA CONTEMPORÂNEA DE AUTORIA FEMININA","Em breve este conteúdo estará disponível.","Nathália Sanglard De Almeida Nogueira "
